Renderer,Driver,MSAA,width,height,FPS,seconds,celcius,fahrenheit,vddc,vddccurrent,gpu_power,core_clock,memory_clock
NVIDIA GeForce GTX 1060 3GB,27.21.14.5709 (10-22-2020) - C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_983b03c2be43c272\nvoglv64.dll,8,2560,1080,38,21.2899,46.0000,114.8000,0.8930,0.0000,0.0000,569.0000,4004.0000
NVIDIA GeForce GTX 1060 3GB,27.21.14.5709 (10-22-2020) - C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_983b03c2be43c272\nvoglv64.dll,8,2560,1080,38,22.3099,46.0000,114.8000,0.8930,0.0000,0.0000,569.0000,4004.0000
NVIDIA GeForce GTX 1060 3GB,27.21.14.5709 (10-22-2020) - C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_983b03c2be43c272\nvoglv64.dll,8,2560,1080,38,23.3189,46.0000,114.8000,0.8930,0.0000,0.0000,569.0000,4004.0000
NVIDIA GeForce GTX 1060 3GB,27.21.14.5709 (10-22-2020) - C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_983b03c2be43c272\nvoglv64.dll,8,2560,1080,39,24.3439,46.0000,114.8000,0.8930,0.0000,0.0000,569.0000,4004.0000
NVIDIA GeForce GTX 1060 3GB,27.21.14.5709 (10-22-2020) - C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_983b03c2be43c272\nvoglv64.dll,8,2560,1080,44,25.3619,47.0000,116.6000,0.8930,0.0000,0.0000,569.0000,4004.0000
NVIDIA GeForce GTX 1060 3GB,27.21.14.5709 (10-22-2020) - C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_983b03c2be43c272\nvoglv64.dll,8,2560,1080,51,26.3779,47.0000,116.6000,0.8930,0.0000,0.0000,569.0000,4004.0000
NVIDIA GeForce GTX 1060 3GB,27.21.14.5709 (10-22-2020) - C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_983b03c2be43c272\nvoglv64.dll,8,2560,1080,53,27.3829,47.0000,116.6000,0.8930,0.0000,0.0000,569.0000,4004.0000
NVIDIA GeForce GTX 1060 3GB,27.21.14.5709 (10-22-2020) - C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_983b03c2be43c272\nvoglv64.dll,8,2560,1080,52,28.4009,48.0000,118.4000,0.8930,0.0000,0.0000,569.0000,4004.0000
NVIDIA GeForce GTX 1060 3GB,27.21.14.5709 (10-22-2020) - C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_983b03c2be43c272\nvoglv64.dll,8,2560,1080,44,29.4109,48.0000,118.4000,0.8930,0.0000,0.0000,569.0000,4004.0000
NVIDIA GeForce GTX 1060 3GB,27.21.14.5709 (10-22-2020) - C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_983b03c2be43c272\nvoglv64.dll,8,2560,1080,39,30.4298,48.0000,118.4000,0.8930,0.0000,0.0000,569.0000,4004.0000
NVIDIA GeForce GTX 1060 3GB,27.21.14.5709 (10-22-2020) - C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_983b03c2be43c272\nvoglv64.dll,8,2560,1080,37,31.4458,49.0000,120.2000,0.8930,0.0000,0.0000,569.0000,4004.0000
